date,log_exists,clear_by_fit,measured_MJ,ref_MJ,anchor_scaling,anchor_used,anchor_resid_log,scaling_daily,source,nrmse,A,n,sunrise,sunset,note
2025-01-01,True,False,8.06904,12.83,,,,1.4089245611275323,annual_fit,0.255628468584295,309.60036252127696,0.5,07:12,16:39,ok
2025-01-02,True,False,7.52484,12.89,,,,1.408776776696182,annual_fit,0.16158312914902573,433.55132492391937,1.8700000000000012,07:11,16:14,ok
2025-01-03,True,False,7.07694,12.95,,,,1.4085824151905773,annual_fit,0.43340878279180656,276.0170244038489,0.5,07:09,16:43,ok
2025-01-04,True,False,9.09606,13.02,,,,1.408341553473124,annual_fit,0.22310365749213504,426.0776334209117,0.8000000000000003,07:52,16:40,ok
2025-01-05,True,False,9.14088,13.09,,,,1.4080542867597186,annual_fit,0.0888471506786252,417.5199337797297,0.9400000000000004,07:11,16:39,ok
2025-01-06,True,False,1.69716,13.16,,,,1.407720728559351,annual_fit,0.3868297334436758,97.84413239567914,0.7300000000000002,07:59,14:39,ok
2025-01-07,True,False,8.69481,13.24,,,,1.4073410106021724,annual_fit,0.18002499331987395,450.19910793996667,1.530000000000001,07:15,16:46,ok
2025-01-08,True,False,8.62782,13.32,,,,1.406915282756105,annual_fit,0.14646609962230953,484.2939418384389,1.600000000000001,07:14,16:29,ok
2025-01-09,True,False,8.42904,13.4,,,,1.4064437129320855,annual_fit,0.1309383915379638,470.8069710024309,1.630000000000001,07:20,16:31,ok
2025-01-10,True,False,9.08136,13.49,,,,1.4059264869780517,annual_fit,0.19355398443201438,446.7330564951999,1.0200000000000005,08:05,16:41,ok
2025-01-11,True,False,9.01194,13.58,,,,1.4053638085617863,annual_fit,0.12554166150323917,450.8904200476194,1.510000000000001,07:10,16:51,ok
2025-01-12,True,False,5.57952,13.68,,,,1.40475589904275,annual_fit,0.25131101161077607,276.5379139674793,1.3300000000000007,07:33,16:48,ok
2025-01-13,True,False,9.83274,13.78,,,,1.4041029973330412,annual_fit,0.05066711705506798,457.1178391432561,1.1000000000000005,07:11,16:49,ok
2025-01-14,True,False,7.74828,13.88,,,,1.403405359747645,annual_fit,0.16175127802834652,409.41849822758223,1.510000000000001,07:11,16:23,ok
2025-01-15,True,False,8.66676,13.98,,,,1.4026632598441235,annual_fit,0.16973413586391806,383.3427502583462,0.7000000000000002,07:37,16:43,ok
2025-01-16,True,False,5.91192,14.09,,,,1.401876988251935,annual_fit,0.35855805401845475,212.51490213673904,0.5,07:07,16:44,ok
2025-01-17,True,False,9.39936,14.2,,,,1.401046852491562,annual_fit,0.19438687477700195,394.2256660925257,0.7600000000000002,07:08,16:54,ok
2025-01-18,True,True,10.50552,14.31,1.3621410458501815,True,-0.027538166415377763,1.400173176783647,annual_fit,0.01417566266259705,464.987521898768,1.0000000000000004,07:09,16:58,ok
2025-01-19,True,False,9.18132,14.43,,,,1.3992563018483437,annual_fit,0.1026100306213375,455.8332973459832,1.4000000000000008,07:15,16:52,ok
2025-01-20,True,False,7.62042,14.55,,,,1.3982965846951032,annual_fit,0.24331472505450222,372.78775636222935,1.2400000000000007,07:19,16:48,ok
2025-01-21,True,True,10.57254,14.67,1.3875568217287426,True,-0.006993275826993495,1.3972943984031176,annual_fit,0.011767971266274073,468.27428176085124,1.0000000000000004,07:13,17:00,ok
